,Name,Gender,DOB,Name Of Area,Pincode,Latitude ,Longitude,Flexibility,Body Composition,Composition Percentage,Interactiveness,Workout Frequency,Workout Mode Preferred,is_sports_enthusiast,like_to_be_mentored,like_to_mentor,fitness_goal_to_be achieved,addons in session,Height_in_cms,Age
1047,Mohammad Chakrabarti,Male,1993-08-06,Mundhva B.O,411036,18.53135,73.91478000000002,3,Acceptable,23,3,Monday To Friday,Outdoor,No,4,3,Mesomorph,Meditation,165,27
1048,Nehrika Samuel,Female,1991-08-21,Mundhva AV S.O,411036,18.53135,73.91478000000002,3,Obese,40,4,Daily,Outdoor,Maybe,2,4,All,Both,161,29
1049,Rebecca Krishnamurthy,Female,1997-01-15,Indrayaninagar S.O,411026,18.62923,73.83431999999998,1,Fitness,22,1,3 days of week,Both,Maybe,3,3,Improve athletic skills,Meditation,167,24
1050,Jash Sai,Male,1985-06-05,P.C.N.T. S.O,411044,18.6554,73.76124,4,Obese,95,1,Daily,Indoor,No,5,2,Build muscle,Both,160,35
1051,Saisha Srivastava,Female,1982-11-07,Salisbury Park S.O,411037,18.48591,73.86715,5,Athletes,21,5,Any Day of Week,Indoor,No,1,4,Mesomorph,Both,163,38
1052,Parv Madan,Male,2001-06-09,Pimpri Waghire S.O,411017,18.60132,73.78156,1,Acceptable,23,1,3 days of week,Outdoor,Maybe,5,4,Build muscle,None,163,19
1053,Luv Nagpal,Male,1984-08-04,Bhavani Peth S.O,411042,18.506970000000006,73.87119,1,Acceptable,23,4,Monday To Friday,Both,Maybe,4,2,Mesomorph,Yoga,164,36
1054,Taksh Arun,Male,1987-03-03,Pune H.O,411001,18.5358,73.891,5,Athletes,6,5,3 days of week,Indoor,Yes,3,2,Lose fat,Meditation,168,34
1055,Taksh Muthu,Male,2002-08-29,Pimpri Colony S.O,411017,18.60755,73.78615,3,Athletes,6,3,Any Day of Week,Outdoor,Maybe,1,1,Build muscle,Meditation,172,18
1056,Zara Rana,Female,1984-11-06,Bibvewadi S.O,411037,18.48337,73.85561,2,Fitness,22,1,Alternate Days,Indoor,No,4,5,Build muscle,Meditation,177,36
1057,Atiksh Chander,Male,1984-04-10,Guruwar Peth S.O,411042,18.505470000000006,73.85951,4,Acceptable,23,2,Daily,Indoor,Yes,2,4,Improve endurance/conditioning,None,176,37
1058,Keya Engineer,Female,1986-06-09,Bajirao Road S.O,411002,18.50995,73.85375,2,Acceptable,32,1,Any Day of Week,Outdoor,No,3,4,All,None,160,34
1059,Ranbir Goel,Male,1990-10-06,Bhavani Peth S.O,411042,18.506970000000006,73.87119,5,Fitness,14,3,Alternate Days,Outdoor,Yes,4,2,Build muscle,None,174,30
1060,Ishank Kumar,Male,1995-02-28,Kasarwadi S.O,411034,18.60373,73.82221,1,Essential Fat,6,5,3 days of week,Indoor,No,4,2,Improve athletic skills,Both,161,26
1061,Laksh Sai,Male,1993-06-16,Deccan Gymkhana S.O,411004,18.51806,73.83615,1,Fitness,14,3,3 days of week,Indoor,Maybe,1,5,Mesomorph,Meditation,175,27
1062,Prisha Engineer,Female,1991-04-23,Vishrantwadi S.O,411015,18.60226,73.89806,4,Obese,40,2,Any Day of Week,Outdoor,No,2,2,Lose fat,Both,164,30
1063,Adah Aggarwal,Female,1997-10-11,Yamunanagar S.O,411044,18.60589,73.76143,1,Acceptable,32,4,Monday To Friday,Indoor,Yes,4,3,Improve athletic skills,Meditation,178,23
1064,Kairav Mati,Male,1985-02-08,Ammunition Factory Khadki S.O,411003,18.57295,73.86363,1,Athletes,6,1,3 days of week,Indoor,No,3,3,Improve athletic skills,Meditation,164,36
1065,Neysa Ganesh,Female,1999-03-11,Ghorpade Peth S.O,411042,18.50139,73.86309,4,Obese,40,5,Monday To Friday,Outdoor,Yes,4,3,Improve athletic skills,Yoga,161,22
1066,Aahva Veena,Male,2001-05-29,Chinchwadga0n S.O,411033,18.55284,73.95387,4,Acceptable,23,4,Monday To Friday,Indoor,No,5,3,Improve athletic skills,Meditation,166,19
1067,Akanksh Sudha,Male,1987-05-18,Nehrunagar S.O (Pune),411018,18.62728,73.8388,5,Fitness,14,3,Monday To Friday,Indoor,Maybe,3,5,Lose fat,None,162,34
1068,Shanaya Chandrasekar,Female,1998-12-07,Swargate S.O,411042,18.506970000000006,73.87119,1,Obese,40,5,Only Weekends,Both,Maybe,3,4,Improve endurance/conditioning,None,176,22
1069,Viti Rai,Female,2000-09-12,Ex. Serviceman Colony S.O,411038,18.48029,73.79853,1,Acceptable,32,4,Alternate Days,Outdoor,No,4,3,All,None,162,20
1070,Kevin Kishore,Male,1986-07-28,Botanical Garden S.O (Pune),411003,18.56354,73.82588,5,Essential Fat,6,5,Alternate Days,Both,No,1,2,Build muscle,Yoga,172,34
1071,Taahira Saxena,Female,1983-04-13,East Khadki S.O,411003,18.55499,73.86108,3,Essential Fat,14,2,3 days of week,Both,No,3,3,Improve athletic skills,Yoga,166,38
1072,Mahika Manju,Female,1995-12-10,Pimpri Colony S.O,411017,18.60755,73.78615,3,Athletes,21,2,3 days of week,Both,Yes,5,5,Build muscle,Both,162,25
1073,Anushka Pawan,Female,1981-05-06,Khadki S.O,411003,18.56312,73.84433,3,Acceptable,32,1,Monday To Friday,Indoor,No,1,2,Build muscle,Meditation,174,40
1074,Kahaan Raji,Male,2000-06-05,Parvati S.O,411009,18.49631,73.85621,5,Essential Fat,6,1,Only Weekends,Indoor,No,1,3,Improve athletic skills,Meditation,177,20
1075,Reyansh Chauhan,Male,1989-07-26,Bajirao Road S.O,411002,18.50995,73.85375,1,Fitness,14,2,Monday To Friday,Both,Yes,1,4,Improve endurance/conditioning,None,169,31
1076,Tanvi Mehra,Female,1981-09-20,T.V. Nagar S.O,411037,18.46135,73.86633,5,Acceptable,32,5,Only Weekends,Both,Maybe,3,2,Build muscle,None,166,39
1077,Aaradhya Goel,Female,2000-02-07,N.D.A. Khadakwasla S.O,411023,18.44063,73.75898000000002,5,Fitness,22,2,Monday To Friday,Both,No,1,2,Mesomorph,None,168,21
1078,Alisha Prasad,Female,1994-04-02,N.I.A. S.O,411045,18.55284,73.95387,3,Fitness,22,1,Daily,Indoor,No,4,4,Build muscle,None,164,27
1079,Rohan Patel,Male,1996-09-03,Chinchwadgaon S.O,411033,18.63172,73.73346,2,Essential Fat,6,2,Daily,Both,Maybe,1,2,All,None,167,24
1080,Anushka Meena,Female,1998-08-16,Navsahyadri S.O,411052,18.49528,73.82775,1,Acceptable,32,2,Any Day of Week,Both,Maybe,5,3,Improve athletic skills,None,173,22
1081,Aarav Naran,Male,1985-05-06,Bhosari I.E. S.O,411026,18.55284,73.95387,3,Obese,95,5,Monday To Friday,Outdoor,Yes,2,2,Lose fat,Meditation,163,36
1082,Anant Raji,Male,1982-10-25,Ganeshkhind S.O,411007,18.55144,73.82197,2,Essential Fat,6,4,3 days of week,Outdoor,No,5,3,Build muscle,Yoga,173,38
1083,Viti Nara,Female,1992-02-26,Anandnagar S.O (Pune),411051,18.62981,73.84746,2,Essential Fat,14,1,Alternate Days,Indoor,No,3,4,Improve endurance/conditioning,None,171,29
1084,Krisha Nita,Female,1985-12-10,Model Colony S.O,411016,18.52906,73.83811,4,Acceptable,32,5,Any Day of Week,Outdoor,Yes,1,1,Mesomorph,Meditation,161,35
1085,Sarthak Dhawan,Male,1986-02-06,Khadki Bazar S.O,411003,18.56312,73.84433,1,Acceptable,23,2,3 days of week,Outdoor,Maybe,1,4,Mesomorph,None,172,35
1086,Naksh Subramani,Male,1984-03-01,Baner Road S.O,411007,18.55383,73.80216,2,Fitness,14,2,Daily,Outdoor,Yes,4,3,Lose fat,Both,160,37
1087,Nirav Uddin,Male,1993-08-30,C M E S.O,411031,18.58289,73.8098,3,Acceptable,23,4,Monday To Friday,Indoor,Maybe,1,5,All,Both,166,27
1088,Idhant Mehra,Male,1984-04-22,Nehrunagar S.O (Pune),411018,18.62728,73.8388,4,Fitness,14,1,Any Day of Week,Outdoor,Yes,5,4,Lose fat,Meditation,168,37
1089,Rudra Krishnamurthy,Male,1988-08-17,Mangalwar Peth S.O (Pune),411011,18.5221,73.86273,1,Essential Fat,6,1,Monday To Friday,Indoor,Maybe,3,5,All,Yoga,176,32
1090,Rushil Tyagi,Male,1999-11-12,Khadki Arsenel S.O,411003,18.56312,73.84433,5,Athletes,6,3,Daily,Both,Yes,2,5,Build muscle,Both,172,21
1091,Neysa Anand,Female,1987-07-28,Baner Road S.O,411007,18.55383,73.80216,3,Obese,40,1,Any Day of Week,Outdoor,Maybe,1,3,Improve athletic skills,Both,169,33
1092,Adah Sudha,Female,1987-12-05,Chinchwadgaon S.O,411033,18.63172,73.73346,2,Essential Fat,14,4,Daily,Indoor,Maybe,2,3,Improve endurance/conditioning,Yoga,175,33
1093,Naksh Arun,Male,2003-06-19,Hadapsar S.O,411028,18.50453,73.91255,2,Acceptable,23,3,Only Weekends,Outdoor,Maybe,1,1,Mesomorph,Both,165,17
1094,Sneha Arun,Female,1989-08-29,Bhavani Peth S.O,411042,18.506970000000006,73.87119,3,Obese,40,3,Daily,Both,Maybe,3,2,Lose fat,None,175,31
1095,Rushil Arun,Male,1989-07-13,Dapodi S.O,411012,18.57749,73.83138000000002,2,Athletes,6,2,Monday To Friday,Indoor,Maybe,5,4,Improve endurance/conditioning,Yoga,170,31
1096,Idhant Prasad,Male,1997-10-13,Bhavani Peth S.O,411042,18.506970000000006,73.87119,4,Athletes,6,2,Alternate Days,Indoor,No,3,3,All,Both,162,23
1097,Kairav Charan,Male,1983-06-30,Pune H.O,411001,18.5358,73.891,1,Fitness,14,1,Daily,Indoor,Maybe,2,4,Improve athletic skills,Yoga,168,37
1098,Ishank Mittal,Male,1999-10-10,Vidyanagar S.O (Pune),411032,18.55284,73.95387,4,Obese,95,3,3 days of week,Both,No,1,5,Mesomorph,None,174,21
1099,Naksh Chauhan,Male,1984-04-28,Sangavi S.O,411027,18.57422,73.81781,2,Fitness,14,2,Alternate Days,Both,Maybe,2,2,Mesomorph,Both,172,37
1100,Nehrika Malhotra,Female,1992-02-20,Bajirao Road S.O,411002,18.50995,73.85375,5,Essential Fat,14,4,Only Weekends,Both,No,5,1,All,Meditation,169,29
1101,Shanaya Raman,Female,2003-08-31,Deccan Gymkhana S.O,411004,18.51806,73.83615,1,Obese,40,2,Any Day of Week,Indoor,No,3,4,Improve athletic skills,Both,172,17
1102,Nirav Chakrabarti,Male,1985-04-25,Raviwar Peth S.O,411002,18.51769,73.86014,1,Essential Fat,6,2,Any Day of Week,Both,Yes,2,2,Mesomorph,Both,176,36
1103,Anika Chandrasekar,Female,1989-03-29,Swargate Chowk S.O,411042,18.506970000000006,73.87119,3,Fitness,22,3,Alternate Days,Outdoor,Maybe,2,1,Improve athletic skills,None,166,32
1104,Tanvi Mahajan,Female,1983-09-03,Srpf S.O,411022,18.50193,73.91264,3,Obese,40,3,Any Day of Week,Both,Yes,5,4,Mesomorph,Meditation,165,37
1105,Nimit Naran,Male,1984-09-27,Thergaon B.O,411033,18.63172,73.73346,5,Fitness,14,5,Daily,Indoor,Yes,1,2,Build muscle,Meditation,172,36
1106,Ved Lata,Male,1992-07-13,East Khadki S.O,411003,18.55499,73.86108,1,Obese,95,4,Alternate Days,Outdoor,Maybe,2,3,All,Meditation,176,28
1107,Anika Rajan,Female,1994-11-22,Raviwar Peth S.O,411002,18.51769,73.86014,5,Fitness,22,3,Monday To Friday,Both,Yes,5,4,Improve athletic skills,None,174,26
1108,Aarav Patel,Male,1983-08-30,Khadki Arsenel S.O,411003,18.56312,73.84433,3,Athletes,6,1,Daily,Outdoor,Maybe,1,2,Improve endurance/conditioning,None,163,37
1109,Akanksh Raman,Male,1984-12-17,East Khadki S.O,411003,18.55499,73.86108,3,Fitness,14,4,Daily,Outdoor,Yes,1,1,Build muscle,None,174,36
1110,Anushka Nigam,Female,1984-05-25,Wanowarie S.O,411040,18.494770000000006,73.90127,1,Athletes,21,4,Daily,Indoor,Maybe,3,2,Improve endurance/conditioning,None,173,37
1111,Sarthak Srivas,Male,1981-03-18,Swargate S.O,411042,18.506970000000006,73.87119,4,Fitness,14,3,Monday To Friday,Outdoor,Maybe,5,3,All,None,170,40
1112,Aadiv Suri,Male,1984-10-15,Nana Peth S.O,411002,18.51009,73.85672,2,Obese,95,4,Only Weekends,Outdoor,Maybe,1,4,Mesomorph,Meditation,163,36
1113,Kimaya Chander,Female,2000-09-30,Airport S.O (Pune),411032,18.57956,73.88954,3,Obese,40,3,3 days of week,Indoor,No,3,4,Improve endurance/conditioning,Yoga,162,20
1114,Kimaya Raji,Female,1981-02-24,Chinchwad East S.O,411019,18.62815,73.8318,3,Obese,40,2,Any Day of Week,Indoor,Yes,4,4,Build muscle,None,161,40
1115,Zara Mati,Female,2003-04-15,Katraj S.O,411046,18.45938,73.86667,4,Acceptable,32,5,Alternate Days,Indoor,No,5,3,Improve athletic skills,Yoga,169,18
1116,Luv Nirmal,Male,1985-02-02,Shivaji Housing Society S.O,411016,18.52501,73.82303,4,Essential Fat,6,2,Only Weekends,Outdoor,Yes,4,1,Lose fat,Both,172,36
1117,Asmee Raji,Female,1999-06-10,M.Phulenagar S.O,411019,28.5779,77.31541,5,Obese,40,3,Alternate Days,Outdoor,Yes,1,4,Improve endurance/conditioning,Both,177,21
1118,Mirai Kumar,Female,1992-06-14,Shaniwar Peth S.O (Pune),411030,18.51384,73.84876,5,Athletes,21,3,Any Day of Week,Outdoor,Yes,5,1,Lose fat,None,175,28
1119,Saloni Ganesh,Female,1995-07-07,Hadpsar I.E. S.O,411013,18.50453,73.91255,2,Obese,40,2,Monday To Friday,Indoor,No,3,2,All,Both,170,25
1120,Rudra Neelam,Male,1995-07-25,Pune R.S. S.O,411001,18.5114,73.87722,2,Acceptable,23,1,Daily,Both,Yes,1,1,Improve endurance/conditioning,Yoga,169,25
1121,Ryka Srini,Female,1988-11-09,Wanowarie S.O,411040,18.494770000000006,73.90127,1,Athletes,21,1,Daily,Outdoor,No,5,1,Improve endurance/conditioning,Both,168,32
1122,Pranay Subramani,Male,1994-02-05,Lohogaon S.O,411047,18.55284,73.95387,5,Acceptable,23,1,Monday To Friday,Both,Maybe,5,4,Improve athletic skills,Both,171,27
1123,Pahal Jindal,Male,1993-09-16,Bibvewadi S.O,411037,18.48337,73.85561,3,Athletes,6,3,Only Weekends,Indoor,Yes,4,5,Mesomorph,Yoga,178,27
1124,Kevin Dutta,Male,1997-05-22,Sangavi S.O,411027,18.57422,73.81781,5,Fitness,14,4,Only Weekends,Outdoor,Yes,1,5,Build muscle,Both,160,24
1125,Jash Sahni,Male,1987-04-17,Karvenagar S.O,411052,18.49,73.82244,3,Essential Fat,6,3,Alternate Days,Both,Maybe,3,3,Build muscle,None,177,34
1126,Shanaya Krishnamurthy,Female,1983-04-02,Kalewadi B.O,411017,18.618920000000006,73.79878000000002,4,Essential Fat,14,4,Monday To Friday,Outdoor,Maybe,3,3,Build muscle,Yoga,173,38
1127,Raj Ganesh,Male,1997-12-31,Rashtra Bhasha Bhavan S.O,411030,18.50942,73.84063,5,Acceptable,23,2,Only Weekends,Outdoor,Yes,1,5,All,Yoga,160,23
1128,Yash Krishnamurthy,Male,2001-11-08,P.C.N.T. S.O,411044,18.6554,73.76124,4,Essential Fat,6,5,Monday To Friday,Outdoor,Maybe,1,2,Mesomorph,Meditation,176,19
1129,Sahana Uddin,Female,1999-03-02,Airport S.O (Pune),411032,18.57956,73.88954,2,Acceptable,32,4,Any Day of Week,Both,No,2,4,Lose fat,Meditation,170,22
1130,Carina Malik,Female,1988-08-27,Khondhwa KH B.O,411048,18.45756,73.89339,2,Acceptable,32,1,Daily,Indoor,No,4,4,Build muscle,Yoga,174,32
1131,Carina Sehgal,Female,1985-03-08,Chinchwadga0n S.O,411033,18.55284,73.95387,1,Acceptable,32,3,Daily,Outdoor,Yes,1,2,Lose fat,Yoga,163,36
1132,Sarthak Soni,Male,1990-05-16,Thathawade B.O,411033,18.63172,73.73346,5,Essential Fat,6,2,Daily,Indoor,No,1,2,Mesomorph,Meditation,174,31
1133,Aahva Saxena,Male,1985-01-13,Raviwar Peth S.O,411002,18.51769,73.86014,4,Acceptable,23,1,Monday To Friday,Indoor,No,2,5,All,None,173,36
1134,Gian Swami,Male,1998-05-15,Raviwar Peth S.O,411002,18.51769,73.86014,3,Essential Fat,6,2,Monday To Friday,Both,Yes,2,3,Mesomorph,Both,160,23
1135,Sahana Persaud,Female,1983-05-02,Kasarwadi S.O,411034,18.60373,73.82221,2,Acceptable,32,5,Alternate Days,Both,Maybe,5,2,Improve athletic skills,Both,168,38
1136,Naksh Persaud,Male,2000-04-28,Pimpri Colony S.O,411017,18.60755,73.78615,2,Obese,95,3,Daily,Indoor,Yes,3,3,Build muscle,Both,166,21
1137,Naksh Sethi,Male,1984-11-20,N.I.A. S.O,411045,18.55284,73.95387,3,Acceptable,23,3,Alternate Days,Outdoor,No,4,1,All,Yoga,170,36
1138,Parv Rajagopal,Male,1987-02-03,Wanowarie S.O,411040,18.494770000000006,73.90127,4,Athletes,6,5,Daily,Both,Yes,5,4,Improve athletic skills,None,161,34
1139,Aadiv Mati,Male,1982-02-17,N I B M S.O,411048,18.47298,73.89421,4,Acceptable,23,3,Alternate Days,Outdoor,Yes,1,5,Build muscle,Meditation,161,39
1140,Naksh Swami,Male,1994-04-08,Khadakwasla R.S. S.O,411024,18.45597,73.78478,5,Fitness,14,4,Alternate Days,Outdoor,No,2,4,Mesomorph,None,165,27
1141,Mohammad Dhawan,Male,1997-11-02,N.C.L. Pune S.O,411008,18.53658,73.7989,5,Acceptable,23,2,Any Day of Week,Outdoor,No,3,5,Mesomorph,None,178,23
1142,Larisa Nirmal,Female,2002-07-31,Chinchwadga0n S.O,411033,18.55284,73.95387,1,Athletes,21,1,Alternate Days,Indoor,Yes,5,1,Improve endurance/conditioning,Both,173,18
1143,Vivaan Ranga,Male,1994-01-26,Ghorpade Peth S.O,411042,18.50139,73.86309,2,Athletes,6,5,Monday To Friday,Outdoor,No,3,4,Improve endurance/conditioning,Meditation,162,27
1144,Keya Bhat,Female,2002-01-31,Sangavi S.O,411027,18.57422,73.81781,5,Essential Fat,14,4,Alternate Days,Indoor,No,2,1,Mesomorph,None,166,19
1145,Aahva Manohar,Male,1990-02-07,Mohamadwadi S.O,411060,18.47335,73.90957,4,Obese,95,1,Daily,Indoor,No,5,5,Mesomorph,Meditation,166,31
1146,Alex Saini,Male,1986-09-15,Shivajinagar S.O (Pune),411005,18.52022,73.84337,3,Acceptable,23,1,Alternate Days,Outdoor,No,5,2,Lose fat,Yoga,163,34
1147,Rishaan Pawan,Male,2000-03-16,Navsahyadri S.O,411052,18.49528,73.82775,4,Essential Fat,6,5,Only Weekends,Outdoor,No,3,4,Lose fat,Both,164,21
1148,Anaisha Rana,Female,1996-06-03,Raviwar Peth S.O,411002,18.51769,73.86014,2,Obese,40,4,3 days of week,Outdoor,No,2,1,Improve athletic skills,Meditation,176,24
1149,Saloni Krishnamurthy,Female,1992-05-12,S.S.C.Exam Board S.O,411005,18.53245,73.84654,4,Acceptable,32,1,Daily,Outdoor,Maybe,1,4,Improve endurance/conditioning,Yoga,163,29
1150,Saloni Srivas,Female,1987-01-01,Aundh T.S. S.O,411007,18.55144,73.82197,1,Fitness,22,1,Only Weekends,Indoor,Yes,5,4,Improve endurance/conditioning,Yoga,172,34
1151,Ananya Aggarwal,Female,1982-02-05,Pune Cantt East S.O,411001,18.5364,73.89394,2,Acceptable,32,4,Daily,Outdoor,No,1,4,Mesomorph,Yoga,175,39
1152,Joseph Muthu,Male,1987-03-08,Pimpri P F S.O,411018,18.57571,73.81074,3,Athletes,6,3,Monday To Friday,Outdoor,Yes,2,3,Mesomorph,None,175,34
1153,Idhant Anand,Male,2001-03-14,Sangavi S.O,411027,18.57422,73.81781,1,Athletes,6,1,3 days of week,Indoor,Maybe,5,1,Improve athletic skills,None,161,20
1154,Raj Sandeep,Male,1986-05-16,N.D.A. Khadakwasla S.O,411023,18.44063,73.75898000000002,2,Fitness,14,2,3 days of week,Both,No,5,1,All,Both,177,35
1155,Avni Saxena,Female,1999-09-01,Khadakwasla R.S. S.O,411024,18.45597,73.78478,3,Essential Fat,14,4,Monday To Friday,Both,Yes,1,4,All,Both,160,21
1156,Ishita Kishore,Female,1999-08-10,Deccan Gymkhana S.O,411004,18.51806,73.83615,1,Obese,40,1,3 days of week,Indoor,No,4,2,All,Yoga,177,21
1157,Hiya Krishnamurthy,Female,1987-09-25,Khadki Arsenel S.O,411003,18.56312,73.84433,1,Acceptable,32,5,Monday To Friday,Both,No,1,4,Improve endurance/conditioning,Both,167,33
1158,Luv Neela,Male,1990-07-19,Shaniwar Peth S.O (Pune),411030,18.51384,73.84876,2,Athletes,6,2,Only Weekends,Indoor,No,1,3,Lose fat,None,170,30
1159,Ira Srivastava,Female,2000-05-30,Pimpri Colony S.O,411017,18.60755,73.78615,5,Essential Fat,14,1,Any Day of Week,Outdoor,No,4,5,All,Both,174,20
1160,Rudra Jindal,Male,1984-10-14,Hadapsar S.O,411028,18.50453,73.91255,1,Fitness,14,2,Daily,Outdoor,No,2,3,Build muscle,Meditation,175,36
1161,Rebecca Engineer,Female,1993-03-03,Yerwada T.S. S.O,411006,18.54429,73.87986,1,Athletes,21,2,Monday To Friday,Both,No,2,2,Improve athletic skills,None,176,28
1162,Raunak Prasad,Male,1994-07-24,Botanical Garden S.O (Pune),411003,18.56354,73.82588,3,Fitness,14,3,Daily,Outdoor,No,5,4,All,Yoga,176,26
1163,Gian Sehgal,Male,1996-12-30,Kasarwadi S.O,411034,18.60373,73.82221,4,Acceptable,23,2,Only Weekends,Both,Maybe,3,1,Build muscle,Yoga,171,24
1164,Rachit Dhawan,Male,1985-09-19,A.R. Shala S.O,411004,18.51806,73.83615,2,Obese,95,3,Any Day of Week,Both,Maybe,3,4,All,Both,169,35
1165,Krisha Persaud,Female,1981-10-02,Thathawade B.O,411033,18.63172,73.73346,2,Athletes,21,4,Only Weekends,Outdoor,No,5,2,Lose fat,None,165,39
1166,Jay Subramani,Male,1988-10-30,Khadki S.O,411003,18.56312,73.84433,5,Athletes,6,3,3 days of week,Outdoor,No,3,1,Lose fat,Yoga,167,32
1167,Saisha Subram,Female,2000-12-20,East Khadki S.O,411003,18.55499,73.86108,5,Acceptable,32,5,Daily,Both,Maybe,1,3,All,Yoga,172,20
1168,Nirav Meena,Male,1993-09-08,Shivajinagar S.O (Pune),411005,18.52022,73.84337,2,Essential Fat,6,1,Any Day of Week,Outdoor,Maybe,1,5,Build muscle,None,161,27
1169,Ira Neela,Female,1994-01-21,Thathawade B.O,411033,18.63172,73.73346,5,Obese,40,4,3 days of week,Indoor,Maybe,4,5,Improve athletic skills,None,178,27
1170,Sadhil Shan,Male,1997-09-08,Srpf S.O,411022,18.50193,73.91264,3,Athletes,6,4,Any Day of Week,Outdoor,No,4,4,Build muscle,Yoga,169,23
1171,Zuber Jai,Male,2000-01-05,Kasarwadi S.O,411034,18.60373,73.82221,2,Obese,95,5,3 days of week,Outdoor,Yes,5,3,Improve athletic skills,Both,163,21
1172,Taarush Jana,Male,1991-08-28,Dapodi S.O,411012,18.57749,73.83138000000002,5,Athletes,6,3,Only Weekends,Indoor,Yes,5,2,All,Both,171,29
1173,Ira Sethi,Female,1984-05-06,Anandnagar S.O (Pune),411051,18.62981,73.84746,2,Obese,40,1,Monday To Friday,Outdoor,Yes,5,5,Improve athletic skills,Both,177,37
1174,Kaia Rana,Female,2002-07-27,Kondhwa Lh B.O,411048,18.48028,73.89846999999997,4,Fitness,22,3,Daily,Outdoor,Yes,1,3,Mesomorph,Meditation,166,18
1175,Ananya Dutta,Female,2003-03-21,N I B M S.O,411048,18.47298,73.89421,1,Athletes,21,2,Alternate Days,Both,No,3,4,Improve endurance/conditioning,None,163,18
1176,Rishaan Gandhi,Male,2001-01-15,Akurdi S.O,411035,18.76572,73.68905,2,Obese,95,3,Alternate Days,Outdoor,Yes,5,1,Improve endurance/conditioning,Yoga,166,20
1177,Rishit Srivas,Male,1997-02-08,Pune Cantt East S.O,411001,18.5364,73.89394,1,Essential Fat,6,4,Only Weekends,Outdoor,Maybe,5,4,Lose fat,Meditation,169,24
1178,Mirai Lalit,Female,2000-12-05,Karvenagar S.O,411052,18.49,73.82244,5,Fitness,22,1,Daily,Indoor,Maybe,1,4,Mesomorph,Both,174,20
1179,Luv Manohar,Male,2000-06-25,Anandnagar S.O (Pune),411051,18.62981,73.84746,1,Fitness,14,3,Daily,Both,Yes,1,3,Improve endurance/conditioning,Meditation,171,20
1180,Amoli Saxena,Female,1983-07-17,Sachapir Street S.O,411001,18.51141,73.87791999999997,2,Essential Fat,14,1,Only Weekends,Both,Maybe,1,5,All,Yoga,160,37
1181,Carina Jai,Female,1988-10-06,Nana Peth S.O,411002,18.51009,73.85672,4,Obese,40,1,Daily,Both,No,3,3,Improve athletic skills,Yoga,177,32
1182,Alisha Chande,Female,2001-03-03,Pimpri Colony S.O,411017,18.60755,73.78615,5,Acceptable,32,2,Monday To Friday,Outdoor,Yes,5,1,Improve athletic skills,None,175,20
1183,Mirai Lal,Female,1998-02-18,Yerwada T.S. S.O,411006,18.54429,73.87986,2,Essential Fat,14,2,Only Weekends,Both,Yes,2,3,Build muscle,Both,164,23
1184,Kashvi Saini,Female,1998-02-28,Sangavi S.O,411027,18.57422,73.81781,5,Obese,40,4,Monday To Friday,Indoor,No,2,2,Build muscle,Both,178,23
1185,Asmee Manju,Female,1998-11-12,Wakad B.O,411057,18.60557,73.76478,3,Essential Fat,14,5,Daily,Both,Maybe,5,4,Improve athletic skills,Meditation,163,22
1186,Saisha Nirmal,Female,2000-10-15,Nana Peth S.O,411002,18.51009,73.85672,1,Essential Fat,14,1,Only Weekends,Indoor,No,5,5,All,Both,165,20
1187,Kevin Arun,Male,1982-08-15,Botanical Garden S.O (Pune),411003,18.56354,73.82588,3,Athletes,6,5,Daily,Both,No,5,1,Improve athletic skills,Meditation,176,38
1188,Saisha Mehta,Female,1992-08-27,Rupeenagar S.O,412114,18.53325,73.89263000000003,2,Obese,40,4,Only Weekends,Both,Maybe,5,4,Build muscle,Yoga,166,28
1189,Joseph Malik,Male,2002-12-01,Rasta Peth S.O,411011,18.5242,73.8578,4,Acceptable,23,1,Daily,Indoor,No,3,3,Improve endurance/conditioning,Yoga,166,18
1190,Aadiv Sandeep,Male,1998-04-15,Bhusari Colony S.O,411038,18.50956,73.79646,5,Athletes,6,1,Monday To Friday,Both,Maybe,2,2,Lose fat,Yoga,168,23
1191,Aarav Verma,Male,1990-01-14,Vishrantwadi S.O,411015,18.60226,73.89806,1,Essential Fat,6,5,Monday To Friday,Both,Maybe,4,3,Build muscle,Yoga,172,31
1192,Asmee Puri,Female,1989-01-01,Wakad B.O,411057,18.60557,73.76478,5,Essential Fat,14,3,Daily,Both,No,2,4,All,Yoga,173,32
1193,Shrishti Chauhan,Female,1992-10-29,Yerwada S.O,411006,18.56318,73.87742,2,Essential Fat,14,2,Only Weekends,Outdoor,Maybe,2,1,Improve endurance/conditioning,Meditation,175,28
1194,Nimit Nagpal,Male,1984-12-07,Mangalwar Peth S.O (Pune),411011,18.5221,73.86273,5,Obese,95,3,Alternate Days,Indoor,No,1,5,Improve endurance/conditioning,Yoga,168,36
1195,Prisha Sai,Female,1982-07-23,A.R. Shala S.O,411004,18.51806,73.83615,1,Obese,40,5,Monday To Friday,Both,Maybe,5,4,Improve endurance/conditioning,Meditation,174,38
1196,Ayaan Swami,Male,1988-10-17,A.R. Shala S.O,411004,18.51806,73.83615,2,Athletes,6,2,Monday To Friday,Indoor,Yes,5,1,Mesomorph,Yoga,164,32
